index,company_name,industry,revenue_range,hg_rank,hg_score,imd_rank,imd_score,total_jobs,ai_jobs,ai_job_ratio
0,ibm,"Professional, Scientific and Technical Services","Over $1,000,000,000",1,100,7.0,77.0,,,
1,verizon communications,Telecommunications,"Over $1,000,000,000",2,88,102.0,45.0,,,
2,j p morgan,Banking and Financial Services,"Over $1,000,000,000",3,83,,,,,
3,wal-mart,Retail Trade,"Over $1,000,000,000",4,75,64.0,51.0,,,
4,siemens,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",5,74,28.0,59.0,,,
5,citibank,Banking and Financial Services,,6,73,,,,,
6,wells fargo,Banking and Financial Services,"Over $1,000,000,000",7,67,138.0,40.0,,,
7,samsung electronics,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",8,65,18.0,68.0,,,
8,johnson johnson,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000",9,65,132.0,40.0,,,
9,amazon,Retail Trade,"Over $1,000,000,000",10,64,5.0,80.0,,,
10,dell,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",11,61,,,,,
11,at t,Telecommunications,"Over $1,000,000,000",12,60,62.0,51.0,,,
12,salesforce crm,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",13,59,16.0,70.0,,,
13,norton,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",14,58,,,,,
14,robert bosch,Manufacturing,"Over $1,000,000,000",15,57,,,,,
15,oracle,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",16,57,14.0,70.0,,,
16,ford motor,Manufacturing,"Over $1,000,000,000",17,56,79.0,49.0,,,
17,optum,Health Care and Social Assistance,"Over $1,000,000,000",18,55,,,,,
18,cvs health,Retail Trade,"Over $1,000,000,000",19,53,84.0,47.0,,,
19,walt disney,Media and Entertainment,"Over $1,000,000,000",20,53,123.0,42.0,,,
20,cisco systems,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",21,53,13.0,72.0,,,
21,microsoft,Computer and Electronic Product Manufacturing,"Over $1,000,000,000",22,52,2.0,91.0,,,
22,university of california,Educational Services,,23,52,,,,,
