rank,effectiveness,company,customer_satisfaction,employee_engagement,innovation,social_responsibility,financial_strength
1,92.1,Apple Inc.,64.7,62.7,99.9,63.2,120.4
2,90.1,Nvidia Corp,59.4,74.8,73.0,66.2,138.7
3,88.8,Microsoft Corp,58.2,68.5,97.6,68.5,99.4
4,78.5,Intel Corp,72.1,64.2,82.0,73.6,45.7
5,75.7,Mastercard Inc A,55.1,66.9,79.8,66.5,71.0
6,75.5,Johnson & Johnson,51.9,66.2,88.1,64.5,66.4
7,75.2,Procter & Gamble,66.0,63.2,75.2,53.5,87.5
8,74.2,Alphabet Inc A,51.5,65.0,74.9,57.6,96.6
9,73.9,Adobe Inc.,58.8,69.6,71.1,71.8,56.3
10,73.8,Philip Morris International,59.2,68.5,85.4,58.3,58.1
11,73.6,Visa Inc A,59.1,64.8,78.0,63.7,64.9
12,73.4,Deere & Co,70.1,58.7,82.3,59.7,55.1
13,72.6,NIKE Inc B,63.3,59.1,85.5,58.8,58.3
14,72.3,QUALCOMM Inc,53.0,59.3,79.4,71.2,60.8
15,72.1,Cisco Systems Inc,64.8,69.3,65.4,67.3,55.0
16,71.9,Oracle Corp,66.4,55.1,77.1,63.4,60.9
17,71.5,PepsiCo Inc,62.2,55.1,74.3,67.3,63.2
17,71.5,"Salesforce, Inc.",65.7,68.0,71.4,63.3,49.7
19,71.3,Amazon.com Inc,56.2,49.1,90.8,47.3,90.6
20,71.2,Intl Business Machines Corp,60.4,61.9,71.4,67.6,58.2
21,71.1,Walmart Inc.,55.7,41.5,93.2,54.9,84.0
22,70.3,General Motors Company,62.9,55.8,73.2,61.6,66.4
23,70.1,Costco Wholesale Corp,66.6,58.9,75.8,51.7,68.6
24,69.5,Intuit Inc,59.3,73.3,62.3,67.0,50.0
25,69.3,Lockheed Martin,63.0,62.7,72.2,57.9,59.3
26,69.1,American Express Co,58.2,64.5,72.0,61.4,57.3
26,69.1,Colgate-Palmolive Co,65.2,65.3,52.8,67.2,65.2
28,68.8,GE Aerospace,67.5,55.8,74.3,57.4,57.2
29,68.7,Caterpillar Inc,69.1,57.1,70.9,54.9,61.9
30,68.5,HP Inc,62.2,63.9,60.7,69.6,52.1
31,68.2,Accenture plc A,63.2,63.2,52.1,71.9,59.9
32,67.9,Cummins Inc,62.0,56.2,77.1,61.0,49.8
33,67.7,Merck & Co Inc,60.9,64.5,58.2,66.9,58.0
34,67.5,JP Morgan Chase & Co,53.8,61.7,64.7,56.6,80.9
35,67.3,Eli Lilly & Co,60.1,65.3,57.1,60.0,70.5
36,67.1,Amgen Inc,62.2,62.1,67.3,60.9,52.6
37,66.9,Hilton Worldwide Holdings Inc,68.3,62.1,55.0,65.1,54.1
37,66.9,Metlife Inc,54.8,62.1,62.2,66.5,62.2
39,66.6,Dow Inc,55.8,63.8,76.0,59.1,46.9
39,66.6,ProLogis Inc,69.2,67.7,58.5,60.6,44.9
41,66.4,Abbott Laboratories,54.8,58.2,70.2,68.3,49.1
41,66.4,Owens Corning Inc,70.6,56.9,52.7,68.3,53.5
43,66.3,Eaton Corp plc,63.0,55.0,65.1,64.7,54.5
43,66.3,RTX Corporation,55.2,53.2,83.6,60.0,48.8
45,66.1,Pfizer Inc,59.8,56.6,74.1,62.7,45.3
46,65.8,AbbVie Inc.,58.7,62.8,62.5,60.9,58.2
46,65.8,"Meta Platforms, Inc. Class A",40.4,56.3,81.2,52.7,82.7
46,65.8,Verizon Communications Inc,51.3,57.8,61.3,63.2,75.7
49,65.7,Ecolab Inc,64.6,55.4,67.8,62.1,48.9
49,65.7,Ford Motor Co,58.6,54.4,65.5,62.0,63.9
51,65.6,Dell Technologies Inc-C,57.7,62.3,62.7,60.5,60.2
52,65.5,Autodesk Inc,59.0,70.5,54.6,64.3,51.4
52,65.5,Edwards Lifesciences Corp,62.9,60.7,63.3,63.1,47.5
54,65.4,Coca-Cola Co,67.1,58.2,57.4,59.4,60.3
54,65.4,Iron Mountain Inc,73.8,47.6,63.0,59.9,55.3
56,65.2,Bristol-Myers Squibb,58.8,56.1,76.4,56.7,50.3
57,65.0,General Mills Inc,61.6,61.4,63.9,60.1,50.6
58,64.8,S&P Global Inc,66.8,61.6,54.9,64.8,46.9
59,64.7,Northrop Grumman Corp,59.0,62.3,66.1,59.7,49.1
60,64.5,Cadence Design Systems Inc,58.5,69.7,54.3,60.8,55.0
60,64.5,Hewlett Packard Enterprise Co,59.2,63.9,55.9,67.3,48.6
62,64.3,eBay Inc.,47.7,55.3,77.5,63.7,50.7
63,64.1,Kimberly-Clark,57.8,57.2,68.0,56.1,59.4
63,64.1,Medtronic plc,56.5,55.1,69.2,65.8,45.1
65,64.0,Uber Technologies Inc.,50.3,49.6,86.0,55.8,54.0
66,63.9,Advanced Micro Devices,58.9,67.5,53.6,65.0,47.8
67,63.8,AT&T Inc,56.4,50.2,64.0,57.8,74.1
68,63.7,Hershey Foods Corp,65.0,55.6,53.4,66.7,51.9
69,63.6,Regeneron Pharmaceuticals Inc,63.5,58.5,56.4,61.3,54.4
70,63.5,Bank of America Corp,46.7,61.0,67.2,60.6,61.7
70,63.5,Boston Scientific Corp,52.6,62.4,66.6,61.6,49.3
72,63.4,Citigroup Inc,49.7,55.6,72.2,62.8,52.6
73,63.3,Trane Technologies plc,69.1,55.2,43.9,68.3,56.6
73,63.3,Vertex Pharmaceuticals Inc,58.6,66.3,54.5,59.3,56.1
75,63.2,Home Depot Inc,54.3,53.7,63.1,55.8,73.9
75,63.2,United Rentals Inc,66.5,62.9,46.4,62.3,55.2
77,63.1,Booz Allen Hamilton Holding Corp A,53.7,64.4,60.1,60.0,55.7
78,62.9,Honeywell Intl Inc,53.0,58.4,68.8,59.7,51.3
79,62.8,Ball Corp,70.8,55.6,47.8,67.9,44.9
80,62.7,Gilead Sciences Inc,57.1,60.2,57.1,64.6,50.9
80,62.7,Rockwell Automation Inc,65.2,56.1,59.3,60.7,47.6
82,62.6,CBRE Group Inc.,53.5,60.5,46.2,65.5,72.0
83,62.5,Allstate Corp,58.3,45.2,70.2,57.7,61.7
84,62.4,Jacobs Solutions Inc.,64.7,56.7,56.7,61.4,48.6
84,62.4,Schlumberger Ltd,53.0,60.7,69.0,56.5,50.5
86,62.2,Cardinal Health Inc,62.5,49.2,53.1,64.3,63.0
86,62.2,Starbucks Corp,49.2,45.4,80.8,55.6,61.4
88,62.1,Intuitive Surgical Inc,41.7,62.7,79.4,54.1,51.9
89,61.9,Altria Group Inc,56.5,59.3,62.9,52.5,61.2
89,61.9,Automatic Data Processing,55.0,55.4,60.5,55.9,67.5
89,61.9,Marriott Intl A,60.8,60.7,54.1,60.1,53.0
89,61.9,Palo Alto Networks Inc.,55.6,66.3,46.8,62.8,60.1
89,61.9,Tetra Tech Inc,66.7,56.2,57.0,57.7,49.5
89,61.9,Weyerhaeuser Co,62.4,50.5,60.8,64.7,46.4
95,61.7,United Parcel Service Inc B,62.1,45.8,68.3,55.4,57.8
96,61.6,Estee Lauder Cos. A,70.3,55.7,50.9,61.6,45.6
96,61.6,ServiceNow Inc.,57.2,70.8,45.2,61.2,54.4
96,61.6,T-Mobile US Inc,63.3,51.2,52.3,58.7,66.8
99,61.4,Mondelez International Inc,61.7,58.4,50.9,62.8,52.6
100,61.3,Exxon Mobil Corp,37.5,50.8,87.7,44.5,76.7
100,61.3,Las Vegas Sands,58.1,46.7,67.1,60.7,53.0
100,61.3,W.W. Grainger Inc,62.5,63.1,44.7,58.3,61.8
103,61.1,FMC Corp,65.8,56.7,58.6,56.9,44.8
103,61.1,Jones Lang Lasalle Inc,54.1,56.3,57.1,66.6,49.7
105,60.9,Johnson Controls International plc,69.5,50.7,50.3,64.8,46.2
105,60.9,Unitedhealth Group Inc,51.1,50.6,58.2,60.3,72.2
107,60.8,AECOM,67.0,52.3,55.2,59.8,48.1
108,60.7,Clorox Co,66.1,51.7,54.9,60.2,49.9
109,60.5,KBR Inc,57.6,61.3,55.2,60.0,48.7
110,60.4,Duke Energy Corp,51.6,58.1,67.3,56.9,48.6
111,60.3,Agilent Technologies Inc,57.6,61.1,48.7,64.6,49.6
111,60.3,Analog Devices Inc,56.6,58.2,47.1,71.0,46.8
111,60.3,Becton Dickinson & Co,53.1,59.1,63.9,59.7,44.6
