rank,company,effectiveness,customer_satisfaction,employee_engagement,social_responsibility,innovation,financial_strength
1,Nvidia Corp,87.6,56.47,78.86,63.92,69.217,139.28
2,Apple Inc.,87.58,64.67,61.86,54.99,97.06,117.04
3,Microsoft Corp,85.18,57.72,67.25,62.84,89.007,106.68
4,Alphabet Inc A,81.33,61.84,66.1,56.45,83.111,103.34
5,Amazon.com Inc,77.93,56.03,43.68,48.02,107.315,103.05
6,Mastercard Inc A,77.14,50.15,66.74,69.92,83.956,70.97
7,Procter & Gamble,76.58,66.46,62.18,55.15,78.113,86.34
8,Intl Business Machines Corp,75.24,61.94,61.7,66.62,82.299,56.43
9,Johnson & Johnson,73.1,51.04,64.47,63.75,83.513,63.48
10,Caterpillar Inc,73.0,67.94,59.86,53.67,84.559,57.61
11,Nike Inc B,72.45,63.25,58.04,57.0,87.896,53.08
12,"Salesforce, Inc.",71.71,65.96,68.08,61.92,69.559,52.14
13,Visa Inc A,71.47,53.95,57.89,66.53,76.589,67.36
14,PepsiCo Inc,71.18,61.54,49.81,68.68,75.956,61.89
15,Honeywell Intl Inc,70.45,53.17,59.14,58.84,89.79,51.26
16,HP Inc,70.24,65.14,65.55,68.82,65.06,44.07
17,GE Aerospace,70.2,59.7,57.78,59.7,76.508,63.7
18,QUALCOMM Inc,70.09,54.78,61.0,68.44,70.237,61.01
19,Ecolab Inc,69.8,70.37,53.75,64.47,70.383,50.26
20,Deere & Co,69.65,67.25,53.76,60.31,77.889,49.23
21,Cisco Systems Inc,69.47,58.83,68.02,68.32,61.597,54.98
22,Eli Lilly & Co,69.29,58.81,64.63,57.57,68.058,69.2
23,Cummins Inc,69.28,67.74,60.12,61.1,68.563,51.84
24,American Express Co,69.18,62.71,64.7,59.47,68.587,56.29
25,Intel Corp,68.7,68.78,57.61,65.5,73.8,31.73
26,Merck & Co Inc,68.01,56.76,67.14,65.61,59.428,61.68
27,Colgate-Palmolive Co,67.92,62.45,64.1,60.85,56.387,71.24
28,Adobe Inc.,67.75,60.02,68.53,62.83,59.486,57.31
29,Lockheed Martin,67.69,60.02,62.92,61.56,68.195,52.27
30,Oracle Corp,67.67,63.84,52.58,58.38,71.205,63.1
