Name,ID,Alias,Language
Mistral,6921,Mistral AI,en
Johnson Controls,2100,johnson controls international plc,en
Johnson Controls,2100,johnson controls,en
CoStar Group,6951,CoStar Group Inc.,en
Principal Financial Group,2462,"principal financial services, inc.",en
Principal Financial Group,2462,principal financial group inc,en
Principal Financial Group,2462,principal,en
Steris,2498,steris,en
Steris,2498,steris corp,en
Steris,2498,steris corporation,en
Progressive,2093,Progressive Insurance,en
Progressive,2093,Progressive Corporation,en
Cincinnati Financial,2258,cincinnati financial corp,en
Cincinnati Financial,2258,the cincinnati insurance companies,en
Cincinnati Financial,2258,cincinnati financial corporation,en
Firstenergy,2320,firstenergy,en
Marathon Petroleum,1826,marathon petroleum,en
Marathon Petroleum,1826,marathon petroleum corporation,en
GE Aerospace,6960,General Electric,en
Avery Dennison,2227,avery dennison corporation,en
Avery Dennison,2227,avery dennison,en
J.M. Smucker,2378,smucker and smucker's,en
J.M. Smucker,2378,j. m. smucker,en
J.M. Smucker,2378,j. m. smucker company,en
J.M. Smucker,2378,the j.m. smucker company,en
Welltower,2538,health care reit,en
Welltower,2538,welltower,en
Extra Space Storage,2314,extra space storage inc.,en
Zions Bancorp,2553,"zions bancorporation, national association",en
Zions Bancorp,2553,keystone insurance and investment co,en
Zions Bancorp,2553,zions bank,en
Zions Bancorp,2553,zions bancorporation,en
Zions Bancorp,2553,"zions bancorporation, n.a.",en
IFlyTek,122,"keda xunfei co., ltd.",en
IFlyTek,122,iflytek co ltd,en
IFlyTek,122,anhui ustc iflytek science and technology co. ltd.,en
IFlyTek,122,科大讯飞股份有限公司,zh
IFlyTek,122,科大讯飞,zh
Aisimba,17,xiaoshi technology,en
Aisimba,17,武汉小狮科技有限公司,zh
Aisimba,17,"Wuhan Xiaoshi Intelligent Technology Co., Ltd",zh
Aisimba,17,小狮科技,zh
Aisimba,17,xiaoshi keji,zh
Micron Technology,2107,"Micron Technology, Inc.",en
Lamb Weston Holdings,2392,lamb weston,en
Lamb Weston Holdings,2392,conagra foods lamb weston,en
Idexx Laboratories,2363,"idexx laboratories, inc. ",en
Idexx Laboratories,2363,idexx,en
Idexx Laboratories,2363,idexx laboratories inc,en
Idexx Laboratories,2363,"idexx laboratories, inc.",en
Panasonic,1129,Panasonic Corporation,en
Panasonic,1129,Panasonic Corp.,en
Panasonic,1129,Panasonic Holdings Corp.,en
Panasonic,1129,パナソニック,jp
Diamondback Energy,2284,diamondback energy inc,en
Diamondback Energy,2284,"diamondback energy, inc.",en
Diamondback Energy,2284,diamondback,en
Globe Life,2340,globe life inc,en
Globe Life,2340,globe life insurance,en
Globe Life,2340,globe life and accident insurance,en
Globe Life,2340,globe life,en
Tyler Technologies,3093,"Tyler Technologies, Inc.",en
Charles Schwab Corporation,2255,charles schwab,en
Charles Schwab Corporation,2255,charles schwab corp,en
