Name,ID,Country,Website,Groups,Aggregated subsidiaries,Region,Stage,Sector,Description,Description source,Description link,Description date,Publications: AI publications,Publications: Recent AI publication growth,Publications: AI publication percentage,Publications: AI publications in top conferences,Publications: Citations to AI research,Publications: CV publications,Publications: NLP publications,Publications: Robotics publications,Publications: AI safety publications,Publications: Large language model publications,Publications: Total publications,Patents: AI patents,Patents: AI patents: recent growth,Patents: AI patent percentage,Patents: Granted AI patents,Patents: Total patents,Patents: AI use cases: Agriculture,Patents: AI use cases: Banking and finance,Patents: AI use cases: Business,Patents: AI use cases: Computing in government,Patents: AI use cases: Document management and publishing,Patents: AI use cases: Education,Patents: AI use cases: Energy,Patents: AI use cases: Entertainment,Patents: AI use cases: Industry and manufacturing,Patents: AI use cases: Life sciences,Patents: AI use cases: Military,Patents: AI use cases: Nanotechnology,Patents: AI use cases: Networking,Patents: AI use cases: Personal devices and computing,Patents: AI use cases: Physical sciences and engineering,Patents: AI use cases: Security,Patents: AI use cases: Semiconductors,Patents: AI use cases: Telecommunications,Patents: AI use cases: Transportation,Patents: AI applications and techniques: Analytics and algorithms,Patents: AI applications and techniques: Computer vision,Patents: AI applications and techniques: Control,Patents: AI applications and techniques: Distributed AI,Patents: AI applications and techniques: Knowledge representation,Patents: AI applications and techniques: Language processing,Patents: AI applications and techniques: Measuring and testing,Patents: AI applications and techniques: Planning and scheduling,Patents: AI applications and techniques: Robotics,Patents: AI applications and techniques: Speech processing,Workforce: AI workers,Workforce: Tech Team 1 workers,City,State/province,PARAT link
Accenture,803,Ireland,https://www.accenture.com/,S&P 500,,Europe,Mature,Software & IT Services,"Accenture is a professional services company, providing services and solutions in strategy, consulting, digital, technology and operations.",crunchbase,https://www.crunchbase.com/organization/accenture,2024-05-16,454,16.82637068855463,27.9,30,7912,83,105,34,14,34,1630,502,1.7965563759322245,43.1,286,1164,3,37,153,0,0,5,5,1,12,34,0,0,5,366,3,51,1,98,9,31,71,37,8,108,32,13,126,0,23,14227,170540,Dublin,Dublin,https://parat.eto.tech/company/803-accenture
Cognizant,806,United States,https://www.cognizant.com,S&P 500,,North America,Mature,Software & IT Services,"Cognizant is a professional services company, transforming clients’ business, operating and technology models for the digital era.",crunchbase,https://www.crunchbase.com/organization/cognizant-technology-solutions,2024-05-16,179,9.112554112554111,27.5,2,11795,43,12,15,7,6,651,83,19.047619047619047,45.1,54,184,0,4,12,1,0,0,0,1,0,5,0,0,0,45,0,4,0,9,0,2,8,1,1,11,1,0,10,0,4,5554,135941,Teaneck,New Jersey,https://parat.eto.tech/company/806-cognizant
Amazon,23,United States,http://amazon.com,"S&P 500, Global Big Tech","Amazon Advertising, Amazon Web Services",North America,Mature,Retailers,"Amazon is a global tech firm with a focus on e-commerce, cloud computing, digital streaming, and artificial intelligence.",crunchbase,https://www.crunchbase.com/organization/amazon,2024-05-16,4019,6.785311734153633,57.3,1363,146538,835,1376,164,308,1078,7017,2168,23.73062329951459,17.6,1959,12306,0,66,280,1,1,13,5,15,52,29,0,0,7,1201,10,87,3,469,421,118,353,377,7,126,22,199,134,4,328,15009,134139,Seattle,Washington,https://parat.eto.tech/company/23-amazon
IBM,115,United States,http://www.ibm.com/,"S&P 500, Global Big Tech",,North America,Mature,Software & IT Services,"IBM is an IT technology and consulting firm providing computer hardware, software, infrastructure, and hosting services.",crunchbase,https://www.crunchbase.com/organization/ibm,2024-05-16,8030,-16.763501169280943,29.4,1693,340174,1248,1640,165,471,864,27329,9077,19.378012299178263,21.1,6381,43099,55,233,1179,28,2,134,72,53,139,659,0,23,204,5726,82,629,80,1505,264,480,812,395,112,1708,334,290,793,4,465,6536,120809,Armonk,New York,https://parat.eto.tech/company/115-ibm
Microsoft,163,United States,http://www.microsoft.com,"S&P 500, Global Big Tech, GenAI Contenders",,North America,Mature,Software & IT Services,"Microsoft is a software corporation that develops, manufactures, licenses, supports, and sells a range of software products and services.",crunchbase,https://www.crunchbase.com/organization/microsoft,2024-05-16,9900,-8.480979790536127,45.5,3814,902230,2672,2828,259,611,2220,21758,4281,5.524632777686087,20.6,2242,20779,5,32,722,4,0,49,22,65,23,163,0,6,235,3007,14,347,6,960,25,161,513,65,26,487,185,69,566,0,383,5598,108641,Redmond,Washington,https://parat.eto.tech/company/163-microsoft
Alphabet (including Google),796,United States,https://abc.xyz/,"S&P 500, Global Big Tech","Waymo, Google, Deepmind",North America,Mature,Software & IT Services,"Alphabet is a holding company that provides projects with resources, freedom, and focus to make their ideas happen.",crunchbase,https://www.crunchbase.com/organization/alphabet,2024-05-16,10067,-16.521175008144557,52.8,3982,1174586,2734,2151,530,763,2019,19082,4783,15.79736025891164,25.9,2401,18457,41,34,297,4,0,24,28,47,165,342,2,12,38,2209,23,173,17,819,406,325,984,423,18,158,73,360,172,12,653,5924,89655,Mountain View,California,https://parat.eto.tech/company/796-alphabet-including-google
Oracle,617,United States,https://www.oracle.com,"S&P 500, Global Big Tech",Cerner Corporation,North America,Mature,Software & IT Services,Oracle is an integrated cloud application and platform services that sells a range of enterprise information technology solutions.,crunchbase,https://www.crunchbase.com/organization/oracle,2024-05-16,280,0.7817303469477395,13.7,37,7902,36,90,5,21,35,2039,452,-9.024812990330231,23.2,241,1951,0,7,79,0,0,4,15,0,2,60,0,0,3,314,1,36,0,88,5,34,36,14,2,61,23,12,69,0,26,1241,53785,Redwood Shores,California,https://parat.eto.tech/company/617-oracle
Deloitte Touche Tohmatsu,804,United Kingdom,https://www2.deloitte.com,,,Europe,Mature,Industrial & Commercial Services,"Deloitte is a business consulting company that offers audit, consulting, financial advisory, and tax services.",crunchbase,https://www.crunchbase.com/organization/deloitte,2024-05-16,190,52.66266266266266,9.1,4,3559,25,19,7,8,9,2084,6,-75.0,23.1,5,26,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6808,44949,London,London,https://parat.eto.tech/company/804-deloitte-touche-tohmatsu
Apple,27,United States,http://www.apple.com,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"Apple Inc. is an American multinational technology company headquartered in Cupertino, California, that designs, develops, and sells consumer electronics, computer software, and online services. It is considered one of the Big Five companies in the U.S. information technology industry, along with Amazon, Google, Microsoft, and Facebook. Its hardware products include the iPhone smartphone, the iPad tablet computer, the Mac personal computer, the iPod portable media player, the Apple Watch smartwatch, the Apple TV digital media player, the AirPods wireless earbuds, the AirPods Max headphones, and the HomePod smart speaker line. Apple's software includes iOS, iPadOS, macOS, watchOS, and tvOS operating systems, the iTunes media player, the Safari web browser, the Shazam music identifier, and the iLife and iWork creativity and productivity suites, as well as professional applications like Final Cut Pro X, Logic Pro, and Xcode. Its online services include the iTunes Store, the iOS App Store, Mac App Store, Apple Arcade, Apple Music, Apple TV+, Apple Fitness+, iMessage, and iCloud. Other services include Apple Store, Genius Bar, AppleCare, Apple Pay, Apple Pay Cash, and Apple Card.",wikipedia,https://en.wikipedia.org/wiki/Apple_Inc.,2021-03-18,530,4.4144377346580335,37.2,143,31040,144,153,38,34,127,1423,836,15.00829693490244,3.7,490,22731,0,8,23,1,0,2,11,16,2,78,0,0,3,417,1,44,0,270,45,107,211,45,2,41,15,67,9,0,79,3733,37701,Cupertino,California,https://parat.eto.tech/company/27-apple
Cisco Systems,383,United States,http://www.cisco.com,"S&P 500, Global Big Tech",,North America,Mature,Technology Equipment,"Cisco develops, manufactures, and sells networking hardware, telecommunications equipment, and other technology services and products.",crunchbase,https://www.crunchbase.com/organization/cisco,2024-05-16,285,26.805555555555557,12.8,26,8294,52,15,14,23,20,2218,1059,-4.686314560840386,11.3,718,9344,0,2,48,0,0,1,9,0,0,3,0,0,7,417,0,118,1,773,8,407,42,21,12,110,12,20,35,1,41,1170,36015,San Jose,California,https://parat.eto.tech/company/383-cisco-systems
