rank,company,ticker,industry,city,state,country,revenue,profit,assets,employees
1,Walmart,WMT,General Merchandisers,Bentonville,Arkansas,U.S.,$648.13B,$15.51B,$252.4B,2.1M
2,Amazon,AMZN,Internet Services and Retailing,Seattle,Washington,U.S.,$574.78B,$30.43B,$527.85B,1.52M
3,State Grid,~,Utilities,Beijing,~,China,$545.95B,$9.2B,$781.13B,1.36M
4,Saudi Aramco,~,"Mining, Crude-Oil Production",Dhahran,~,Saudi Arabia,$494.89B,$120.7B,$660.82B,73.31K
5,Sinopec Group,~,Petroleum Refining,Beijing,~,China,$429.7B,$9.39B,$382.69B,513.43K
6,China National Petroleum,~,Petroleum Refining,Beijing,~,China,$421.71B,$21.29B,$630.56B,1.03M
7,Apple,AAPL,"Computers, Office Equipment",Cupertino,California,U.S.,$383.29B,$97B,$352.58B,161K
8,UnitedHealth Group,UNH,Health Care: Insurance and Managed Care,Minnetonka,Minnesota,U.S.,$371.62B,$22.38B,$273.72B,440K
9,Berkshire Hathaway,BRKA,Insurance: Property and Casualty (Stock),Omaha,Nebraska,U.S.,$364.48B,$96.22B,$1.07T,396.5K
10,CVS Health,CVS,Health Care: Pharmacy and Other Services,Woonsocket,Rhode Island,U.S.,$357.78B,$8.34B,$249.73B,259.5K
11,Volkswagen,VWAGY,Motor Vehicles & Parts,Wolfsburg,~,Germany,$348.41B,$17.94B,$663.06B,684.02K
12,Exxon Mobil,XOM,Petroleum Refining,Spring,Texas,U.S.,$344.58B,$36.01B,$376.32B,61.5K
13,Shell,SHEL,Petroleum Refining,London,~,Britain,$323.18B,$19.36B,$406.27B,103K
14,China State Construction Engineering,~,Engineering & Construction,Beijing,~,China,$320.43B,$4.37B,$410.14B,382.89K
15,Toyota Motor,TM,Motor Vehicles & Parts,Toyota,~,Japan,$312.02B,$34.21B,$595.92B,380.79K
16,McKesson,MCK,Wholesalers: Health Care,Irving,Texas,U.S.,$308.95B,$3B,$67.44B,48K
17,Alphabet,GOOGL,Internet Services and Retailing,Mountain View,California,U.S.,$307.39B,$73.8B,$402.39B,182.5K
18,Cencora,COR,Wholesalers: Health Care,Conshohocken,Pennsylvania,U.S.,$262.17B,$1.75B,$62.56B,44K
19,Trafigura Group,~,Trading,Singapore,~,Singapore,$244.28B,$7.39B,$83.38B,12.48K
20,Costco Wholesale,COST,General Merchandisers,Issaquah,Washington,U.S.,$242.29B,$6.29B,$68.99B,316K
21,JPMorgan Chase,JPM,Banks: Commercial and Savings,New York,New York,U.S.,$239.43B,$49.55B,$3.88T,309.93K
22,Industrial & Commercial Bank of China,IDCBY,Banks: Commercial and Savings,Beijing,~,China,$222.48B,$51.42B,$6.3T,419.25K
23,TotalEnergies,TTE,Petroleum Refining,Courbevoie,~,France,$218.94B,$21.38B,$283.65B,102.58K
24,Glencore,GLNCY,"Mining, Crude-Oil Production",Baar,~,Switzerland,$217.83B,$4.28B,$123.87B,83.43K
25,BP,BP,Petroleum Refining,London,~,Britain,$213.03B,$15.24B,$280.29B,79.4K
26,Microsoft,MSFT,Computer Software,Redmond,Washington,U.S.,$211.91B,$72.36B,$411.98B,221K
27,Cardinal Health,CAH,Wholesalers: Health Care,Dublin,Ohio,U.S.,$205.01B,$261M,$43.42B,47.52K
28,Stellantis,STLA,Motor Vehicles & Parts,Hoofddorp,~,Netherlands,$204.91B,$20.1B,$223.25B,258.27K
29,Chevron,CVX,Petroleum Refining,San Ramon,California,U.S.,$200.95B,$21.37B,$261.63B,45.6K
30,China Construction Bank,CICHY,Banks: Commercial and Savings,Beijing,~,China,$199.83B,$46.99B,$5.4T,376.87K
31,Samsung Electronics,~,"Electronics, Electrical Equip.","Suwon, Gyeonggi-do",~,South Korea,$198.26B,$11.08B,$351.94B,267.86K
32,Hon Hai Precision Industry,HNHPF,"Electronics, Electrical Equip.",New Taipei City,~,Taiwan,$197.88B,$4.56B,$128.55B,621.39K
33,Cigna,CI,Health Care: Pharmacy and Other Services,Bloomfield,Connecticut,U.S.,$195.26B,$5.16B,$152.76B,71.41K
34,Agricultural Bank of China,ACGBY,Banks: Commercial and Savings,Beijing,~,China,$192.4B,$38.05B,$5.62T,451K
35,China Railway Engineering Group,~,Engineering & Construction,Beijing,~,China,$178.56B,$2.15B,$258.82B,314.15K
36,Ford Motor,F,Motor Vehicles & Parts,Dearborn,Michigan,U.S.,$176.19B,$4.35B,$273.31B,177K
37,Bank of China,BACHY,Banks: Commercial and Savings,Beijing,~,China,$172.33B,$32.76B,$4.57T,306.93K
38,Bank of America,BAC,Banks: Commercial and Savings,Charlotte,North Carolina,U.S.,$171.91B,$26.52B,$3.18T,212.99K
39,General Motors,GM,Motor Vehicles & Parts,Detroit,Michigan,U.S.,$171.84B,$10.13B,$273.06B,163K
40,Elevance Health,ELV,Health Care: Insurance and Managed Care,Indianapolis,Indiana,U.S.,$171.34B,$5.99B,$108.93B,104.9K
41,BMW Group,BMWYY,Motor Vehicles & Parts,Munich,~,Germany,$168.1B,$12.21B,$277.1B,154.95K
42,Mercedes-Benz Group,MBGYY,Motor Vehicles & Parts,Stuttgart,~,Germany,$165.64B,$15.42B,$290.5B,166.06K
43,China Railway Construction,~,Engineering & Construction,Beijing,~,China,$160.85B,$1.7B,$234.98B,336.43K
44,China Baowu Steel Group,~,Metals,Shanghai,~,China,$157.22B,$2.49B,$191.96B,258.7K
45,Citigroup,C,Banks: Commercial and Savings,New York,New York,U.S.,$156.82B,$9.23B,$2.41T,237.93K
46,Centene,CNC,Health Care: Insurance and Managed Care,St. Louis,Missouri,U.S.,$154B,$2.7B,$84.64B,67.7K
47,JD.com,JD,Internet Services and Retailing,Beijing,~,China,$153.22B,$3.41B,$88.61B,517.12K
48,Home Depot,HD,Specialty Retailers,Atlanta,Georgia,U.S.,$152.67B,$15.14B,$76.53B,463.1K
49,Electricite de France,~,Utilities,Paris,~,France,$151.04B,$10.83B,$402.93B,171.86K
50,Marathon Petroleum,MPC,Petroleum Refining,Findlay,Ohio,U.S.,$150.31B,$9.68B,$85.99B,18.2K
51,Kroger,KR,Food & Drug Stores,Cincinnati,Ohio,U.S.,$150.04B,$2.16B,$50.51B,414K
52,Phillips 66,PSX,Petroleum Refining,Houston,Texas,U.S.,$149.89B,$7.01B,$75.5B,14K
53,Ping An Insurance,PNGAY,"Insurance: Life, Health (stock)",Shenzhen,~,China,$145.76B,$12.1B,$1.63T,288.75K
54,Sinochem Holdings,~,Chemicals,Xiongan New Area,~,China,$143.24B,$-3.67B,$223.94B,203.73K
55,China Mobile Communications,~,Telecommunications,Beijing,~,China,$142.83B,$15.25B,$338.35B,453.39K
56,China National Offshore Oil,~,"Mining, Crude-Oil Production",Beijing,~,China,$141.73B,$14.56B,$225.84B,82.56K
57,Honda Motor,HMC,Motor Vehicles & Parts,Tokyo,~,Japan,$141.35B,$7.66B,$196.89B,194.99K
58,Fannie Mae,FNMA,Diversified Financials,Washington,District Of Columbia,U.S.,$141.24B,$17.41B,$4.33T,8.1K
59,China Life Insurance,~,"Insurance: Life, Health (stock)",Beijing,~,China,$139.62B,$-841.2M,$954.02B,176.63K
60,Walgreens Boots Alliance,WBA,Food & Drug Stores,Deerfield,Illinois,U.S.,$139.08B,$-3.08B,$96.63B,268.5K
61,Valero Energy,VLO,Petroleum Refining,San Antonio,Texas,U.S.,$139B,$8.84B,$63.06B,9.9K
62,Banco Santander,SAN,Banks: Commercial and Savings,Madrid,~,Spain,$137.24B,$11.97B,$1.98T,207.21K
63,China Communications Construction,~,Engineering & Construction,Beijing,~,China,$136.67B,$1.67B,$361.45B,219.03K
64,BNP Paribas,BNPQY,Banks: Commercial and Savings,Paris,~,France,$136.08B,$11.86B,$2.86T,182.66K
65,Mitsubishi,MTSUY,Trading,Tokyo,~,Japan,$135.39B,$6.67B,$155.14B,80.04K
66,Meta Platforms,META,Internet Services and Retailing,Menlo Park,California,U.S.,$134.9B,$39.1B,$229.62B,67.32K
67,HSBC Holdings,HSBC,Banks: Commercial and Savings,London,~,Britain,$134.9B,$23.53B,$3.04T,220.86K
68,Verizon Communications,VZ,Telecommunications,New York,New York,U.S.,$133.97B,$11.61B,$380.25B,105.4K
69,China Minmetals,~,Metals,Beijing,~,China,$132.02B,$766M,$159.61B,175.52K
70,Alibaba Group Holding,BABA,Internet Services and Retailing,Hangzhou,~,China,$131.34B,$11.17B,$244.43B,204.89K
71,CITIC Group,~,Diversified Financials,Beijing,~,China,$131.24B,$4.12B,$1.62T,213.29K
72,China Resources,~,Diversified Financials,Hong Kong,~,China,$126.17B,$3.8B,$367.03B,394.11K
73,Hyundai Motor,HYMTF,Motor Vehicles & Parts,Seoul,~,South Korea,$124.58B,$9.16B,$218.05B,73.5K
74,AT&T,T,Telecommunications,Dallas,Texas,U.S.,$122.43B,$14.4B,$407.06B,150.47K
75,Shandong Energy Group,~,"Mining, Crude-Oil Production",Jinan,~,China,$122.38B,$829.6M,$141.18B,214.41K
76,Comcast,CMCSA,Telecommunications,Philadelphia,Pennsylvania,U.S.,$121.57B,$15.39B,$264.81B,186K
77,Deutsche Telekom,DTEGY,Telecommunications,Bonn,~,Germany,$121.05B,$19.23B,$320.64B,199.65K
