rank,ai_maturity_score,company_name,company_url,industry,revenue_range
1,100.0,IBM,www.ibm.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
2,88.0,Verizon Communications,www.verizon.com,Telecommunications,"Over $1,000,000,000"
3,83.0,J.P. Morgan,www.jpmorganchase.com,Banking and Financial Services,"Over $1,000,000,000"
4,75.0,Wal-Mart,www.walmart.com,Retail Trade,"Over $1,000,000,000"
5,74.0,Siemens,www.siemens.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
6,73.0,Citibank,www.citi.com,Banking and Financial Services,
7,67.0,Wells Fargo,www.wellsfargo.com,Banking and Financial Services,"Over $1,000,000,000"
8,65.0,Samsung Electronics,www.samsung.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
9,65.0,Johnson & Johnson,www.jnj.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
10,64.0,Amazon,www.amazon.com,Retail Trade,"Over $1,000,000,000"
11,61.0,Dell,www.dell.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
12,60.0,AT&T,www.att.com,Telecommunications,"Over $1,000,000,000"
13,59.0,Salesforce CRM,www.salesforce.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
14,58.0,Norton & Co,www.intel.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
15,57.0,Robert Bosch GmbH,www.bosch.com,Manufacturing,"Over $1,000,000,000"
16,57.0,Oracle,www.oracle.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
17,56.0,Ford Motor Co,www.ford.com,Manufacturing,"Over $1,000,000,000"
18,55.0,Optum,www.optum.com,Health Care and Social Assistance,"Over $1,000,000,000"
19,53.0,CVS Health Corp.,www.cvshealth.com,Retail Trade,"Over $1,000,000,000"
20,53.0,The Walt Disney Company,www.thewaltdisneycompany.com,Media and Entertainment,"Over $1,000,000,000"
21,53.0,Cisco Systems,www.cisco.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
22,52.0,Microsoft,www.microsoft.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
23,52.0,University of California,www.universityofcalifornia.edu,Educational Services,
24,52.0,Capital One Financial,www.capitalone.com,Banking and Financial Services,"Over $1,000,000,000"
25,51.0,American Express Co.,www.americanexpress.com,Banking and Financial Services,"Over $1,000,000,000"
26,51.0,UnitedHealthcare,www.unitedhealthgroup.com,Insurance,"Over $1,000,000,000"
27,50.0,Fidelity Investments,www.fidelity.com,Banking and Financial Services,"Over $1,000,000,000"
28,50.0,"Workday, Inc.",www.workday.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
29,48.0,The Scalers,www.thescalers.com,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999"
30,48.0,Telefon AB LM Ericsson,www.ericsson.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
31,48.0,Bank of America Corp.,www.bankofamerica.com,Banking and Financial Services,"Over $1,000,000,000"
32,47.0,Adobe Systems,www.adobe.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
33,47.0,Honeywell International,www.honeywell.com,Manufacturing,"Over $1,000,000,000"
34,47.0,Tata Group,www.tata.com,Manufacturing,"Over $1,000,000,000"
35,45.0,Automatic Data Processing,www.adp.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
36,45.0,ORANGE,www.orange.com,Telecommunications,"Over $1,000,000,000"
37,45.0,Apple,www.apple.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
38,45.0,Amazon,www.aws.amazon.com,"Professional, Scientific and Technical Services","$10,000,000 to $49,999,999"
39,45.0,The Boeing Co.,www.boeing.com,Manufacturing,"Over $1,000,000,000"
40,44.0,Thomson Reuters,www.thomsonreuters.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
41,44.0,HSBC HOLDINGS PLC,www.hsbc.com,Banking and Financial Services,"Over $1,000,000,000"
42,43.0,Ascendion,www.ascendion.com,Computer and Electronic Product Manufacturing,"$500,000,000 to $999,999,999"
43,43.0,General Motors,www.gm.com,Manufacturing,"Over $1,000,000,000"
44,43.0,BARCLAYS PLC,www.home.barclays,Banking and Financial Services,"Over $1,000,000,000"
45,43.0,Visa Inc.,www.visa.com,Banking and Financial Services,"Over $1,000,000,000"
46,43.0,Broadcom,www.broadcom.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
47,42.0,NVIDIA Corp.,www.nvidia.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
48,42.0,Purple Drive Technologies,www.purpledrive.com,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999"
49,42.0,"T-Mobile Us, Inc.",www.t-mobile.com,Telecommunications,"Over $1,000,000,000"
50,42.0,Experian Consumer Services,www.experian.com,Banking and Financial Services,"Over $1,000,000,000"
51,42.0,Ubs Ag,www.ubs.com,Banking and Financial Services,"Over $1,000,000,000"
52,42.0,Home Depot,www.homedepot.com,Retail Trade,"Over $1,000,000,000"
53,42.0,HP,www.hp.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
54,42.0,Koninklijke Philips NV,www.philips.com,Manufacturing,"Over $1,000,000,000"
55,41.0,General Electric Schweiz,www.ge.com,Public Administration,"Over $1,000,000,000"
56,41.0,Iqvia Holdings,www.iqvia.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
57,41.0,"Fiserv, Inc.",www.fiserv.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
58,41.0,Vodafone,www.vodafone.com,Telecommunications,"Over $1,000,000,000"
59,41.0,Schneider Electric,www.se.com,Manufacturing,"Over $1,000,000,000"
60,41.0,PUBLICIS GROUPE S.A.,www.publicisgroupe.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
61,40.0,Raytheon Technologies,www.rtx.com,Manufacturing,"Over $1,000,000,000"
62,40.0,"Lumen Technologies, Inc.",www.lumen.com,Telecommunications,"Over $1,000,000,000"
63,40.0,Novartis AG,www.novartis.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
64,40.0,S&P Global,www.spglobal.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
65,40.0,"Meta Platforms, Inc.",www.meta.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
66,40.0,Thermo Fisher Scientific,www.thermofisher.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
67,40.0,Humana,www.humana.com,Insurance,"Over $1,000,000,000"
68,39.0,FedEx,www.fedex.com,Transportation and Warehousing,"Over $1,000,000,000"
69,39.0,"Hitachi, Ltd.",www.hitachi.com,Manufacturing,"Over $1,000,000,000"
70,39.0,Fossbytes,www.fossbytes.com,Media and Entertainment,"$1,000,000 to $9,999,999"
71,39.0,Citibank,www.citigroup.com,Banking and Financial Services,"Over $1,000,000,000"
72,39.0,"Merck & Co., Inc.",www.merck.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
73,39.0,Fujitsu,www.fujitsu.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
74,39.0,Hewlett Packard Enterprise Co,www.hpe.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
75,39.0,dentsu Media,www.dentsu.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
76,39.0,"Warner Bros. Discovery, Inc.",www.wbd.com,Media and Entertainment,"Over $1,000,000,000"
77,39.0,Lockheed Martin Corp.,www.lockheedmartin.com,Manufacturing,"Over $1,000,000,000"
78,39.0,Intuit,www.intuit.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
79,38.0,PayPal Holdings,www.paypal.com,Banking and Financial Services,"Over $1,000,000,000"
80,38.0,AstraZeneca PLC,www.astrazeneca.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
81,38.0,Morgan Stanley,www.morganstanley.com,Banking and Financial Services,"Over $1,000,000,000"
82,38.0,State Farm Insurance,www.statefarm.com,Insurance,"Over $1,000,000,000"
83,38.0,Roche Holding AG,www.roche.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
84,38.0,Fractal,www.fractal.ai,"Professional, Scientific and Technical Services","$200,000,000 to $499,999,999"
85,38.0,PepsiCo,www.pepsico.com,Manufacturing,"Over $1,000,000,000"
86,37.0,Essenware,www.essenware.com,,
87,37.0,Huawei,www.huawei.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
88,36.0,Anthem Blue Cross,www.anthem.com,Insurance,"Over $1,000,000,000"
89,36.0,U.S. Bancorp,www.usbank.com,Banking and Financial Services,"Over $1,000,000,000"
90,36.0,Pfizer,www.pfizer.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
91,36.0,Google Inc.,www.google.com,"Professional, Scientific and Technical Services","Over $1,000,000,000"
92,36.0,Rakuten Mobile,www.rakuten.com,Media and Entertainment,"Over $1,000,000,000"
93,36.0,Nokia Oyj,www.nokia.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
94,36.0,"Takeda Pharmaceutical Co., Ltd.",www.takeda.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
95,36.0,The Bank of New York Mellon Corporation,www.bnymellon.com,Banking and Financial Services,"Over $1,000,000,000"
96,35.0,Cigna,www.cigna.com,Insurance,"Over $1,000,000,000"
97,35.0,Vanguard,www.vanguard.com,Banking and Financial Services,"Over $1,000,000,000"
98,35.0,nustar technologies,www.nustartech.com,"Professional, Scientific and Technical Services","$1,000,000 to $9,999,999"
99,35.0,Johnson Controls International plc,www.johnsoncontrols.com,Manufacturing,"Over $1,000,000,000"
100,35.0,Royal Bank of Canada,www.rbc.com,Banking and Financial Services,"$10,000,000 to $49,999,999"
101,35.0,GSK PLC,www.gsk.com,Pharmaceuticals and Chemicals Manufacturing,"Over $1,000,000,000"
102,35.0,Qualcomm,www.qualcomm.com,Computer and Electronic Product Manufacturing,"Over $1,000,000,000"
