indexname,gvkey,tic,companyname
S&P 500,007435,MMM,3M Company
S&P 500,009771,AOS,A. O. Smith Corporation
S&P 500,001598,AME,"AMETEK, Inc."
S&P 500,001678,APA,APA Corporation
S&P 500,009899,T,AT&T Inc.
S&P 500,016101,ABBV,AbbVie Inc.
S&P 500,001078,ABT,Abbott Laboratories
S&P 500,143357,ACN,Accenture plc
S&P 500,012540,ADBE,Adobe Inc.
S&P 500,001161,AMD,"Advanced Micro Devices, Inc."
S&P 500,001449,AFL,Aflac Incorporated
S&P 500,126554,A,"Agilent Technologies, Inc."
S&P 500,001209,APD,"Air Products and Chemicals, Inc."
S&P 500,037460,ABNB,"Airbnb, Inc."
S&P 500,125595,AKAM,"Akamai Technologies, Inc."
S&P 500,029751,ALB,Albemarle Corporation
S&P 500,064821,ARE,"Alexandria Real Estate Equities, Inc."
S&P 500,141384,ALGN,"Align Technology, Inc."
S&P 500,316056,ALLE,Allegion plc
S&P 500,011554,LNT,Alliant Energy Corporation
S&P 500,160329,GOOGL,Alphabet Inc.
S&P 500,160329,GOOG,Alphabet Inc.
S&P 500,008543,MO,"Altria Group, Inc."
S&P 500,064768,AMZN,"Amazon.com, Inc."
S&P 500,100243,AMCR,Amcor plc
S&P 500,010860,AEE,Ameren Corporation
S&P 500,001440,AEP,"American Electric Power Company, Inc."
S&P 500,001447,AXP,American Express Company
S&P 500,001487,AIG,"American International Group, Inc."
S&P 500,105365,AMT,American Tower Corporation
S&P 500,179437,AWK,"American Water Works Company, Inc."
S&P 500,164708,AMP,"Ameriprise Financial, Inc."
S&P 500,001602,AMGN,Amgen Inc.
S&P 500,014282,APH,Amphenol Corporation
S&P 500,001632,ADI,"Analog Devices, Inc."
S&P 500,003221,AON,Aon plc
S&P 500,184254,APO,"Apollo Global Management, Inc."
S&P 500,038212,APP,AppLovin Corporation
S&P 500,001690,AAPL,Apple Inc.
S&P 500,001704,AMAT,"Applied Materials, Inc."
S&P 500,118122,APTV,Aptiv PLC
S&P 500,061302,ACGL,Arch Capital Group Ltd.
S&P 500,001722,ADM,Archer-Daniels-Midland Company
S&P 500,020412,ARES,Ares Management Corporation
S&P 500,020748,ANET,"Arista Networks, Inc."
S&P 500,004973,AJG,Arthur J. Gallagher & Co.
S&P 500,157057,AIZ,"Assurant, Inc."
S&P 500,004383,ATO,Atmos Energy Corporation
S&P 500,023809,AZO,"AutoZone, Inc."
S&P 500,001878,ADSK,"Autodesk, Inc."
S&P 500,001891,ADP,"Automatic Data Processing, Inc."
S&P 500,029875,AVB,"AvalonBay Communities, Inc."
S&P 500,001913,AVY,Avery Dennison Corporation
S&P 500,143912,AXON,"Axon Enterprise, Inc."
S&P 500,064925,BXP,"BXP, Inc."
S&P 500,032106,BKR,Baker Hughes Company
S&P 500,001988,BALL,Ball Corporation
S&P 500,007647,BAC,Bank of America Corporation
S&P 500,002086,BAX,Baxter International Inc.
S&P 500,002111,BDX,"Becton, Dickinson and Company"
S&P 500,002176,BRK.B,Berkshire Hathaway Inc.
S&P 500,002184,BBY,"Best Buy Co., Inc."
S&P 500,015414,TECH,Bio-Techne Corporation
S&P 500,024468,BIIB,Biogen Inc.
S&P 500,124434,BLK,"BlackRock, Inc."
S&P 500,177088,BX,Blackstone Inc.
S&P 500,026367,XYZ,"Block, Inc."
S&P 500,119314,BKNG,Booking Holdings Inc.
S&P 500,025279,BSX,Boston Scientific Corporation
S&P 500,002403,BMY,Bristol-Myers Squibb Company
S&P 500,180711,AVGO,Broadcom Inc.
S&P 500,176928,BR,"Broadridge Financial Solutions, Inc."
S&P 500,015417,BRO,"Brown & Brown, Inc."
S&P 500,002435,BF.B,Brown-Forman Corporation
S&P 500,163036,BLDR,"Builders FirstSource, Inc."
S&P 500,144435,BG,Bunge Global SA
S&P 500,065609,CHRW,"C.H. Robinson Worldwide, Inc."
S&P 500,260774,CBRE,"CBRE Group, Inc."
S&P 500,028320,CDW,CDW Corporation
S&P 500,163946,CF,"CF Industries Holdings, Inc."
S&P 500,149070,CME,CME Group Inc.
S&P 500,003439,CMS,CMS Energy Corporation
S&P 500,015444,CRH,CRH plc
S&P 500,002574,CSX,CSX Corporation
S&P 500,007241,CVS,CVS Health Corporation
S&P 500,013421,CDNS,"Cadence Design Systems, Inc."
S&P 500,028629,CPT,Camden Property Trust
S&P 500,030990,COF,Capital One Financial Corporation
S&P 500,002751,CAH,"Cardinal Health, Inc."
S&P 500,013498,CCL,Carnival Corporation Ltd.
